,Itemcode,Item Description,Brand,Pack-size,Vendor ID,Receive Date,PO Number,PO Line #,Ordered Quantity,Order UOM,Received Quantity,Rec. UOM,Weight (LB),Variance (Quantity),Estimate Inventory Cost,Actual Inventory Cost,Variance (Inventory Cost),Estimate Add-on Cost,Actual Add-on Cost,Variance (Add-on Cost),Price per Case ($)
95,APP14,Apple McIntosh 88s,,,ROG,01/06/2015,1498,1,210,CS,210,CS,0.0,0.0,4725.0,4725.0,0.0,0.0,0.0,0.0,22.5
96,APP14,Apple McIntosh 88s,,,ROG,01/13/2015,1514,1,147,CS,147,CS,0.0,0.0,3307.5,3307.5,0.0,0.0,0.0,0.0,22.5
97,APP14,Apple McIntosh 88s,,,ROG,01/20/2015,1524,1,168,CS,168,CS,0.0,0.0,3780.0,3780.0,0.0,0.0,0.0,0.0,22.5
99,APP14,Apple McIntosh 88s,,,ROG,01/30/2015,1540,1,72,CS,72,CS,0.0,0.0,1620.0,1620.0,0.0,0.0,0.0,0.0,22.5
100,APP14,Apple McIntosh 88s,,,ROG,02/03/2015,1543,1,72,CS,72,CS,0.0,0.0,1620.0,1620.0,0.0,0.0,0.0,0.0,22.5
103,APP14,Apple McIntosh 88s,,,SUL,05/20/2015,1725,1,84,CS,84,CS,0.0,0.0,1747.2,1747.2,0.0,151.15,151.15,0.0,20.8
104,APP14,Apple McIntosh 88s,,,ROG,10/20/2015,2899,1,84,CS,84,CS,0.0,0.0,1848.0,1848.0,0.0,126.0,126.0,0.0,22.0
105,APP14,Apple McIntosh 88s,,,ROG,04/04/2016,3283,1,84,CS,84,CS,0.0,0.0,1932.0,1932.0,0.0,105.0,105.0,0.0,23.0
106,APP14,Apple McIntosh 88s,,,ORB,04/15/2016,3323,4,126,CS,126,CS,0.0,0.0,3118.5,3118.5,0.0,0.0,0.0,0.0,24.75
107,APP14,Apple McIntosh 88s,,,ORB,04/15/2016,3324,3,210,CS,210,CS,0.0,0.0,5197.5,5197.5,0.0,266.7,266.7,0.0,24.75
108,APP14,Apple McIntosh 88s,,,ORB,04/20/2016,3333,4,210,CS,210,CS,0.0,0.0,5197.5,5197.5,0.0,266.7,266.7,0.0,24.75
109,APP14,Apple McIntosh 88s,,,ORB,04/22/2016,3344,1,84,CS,84,CS,0.0,0.0,2079.0,2079.0,0.0,0.0,0.0,0.0,24.75
110,APP14,Apple McIntosh 88s,,,ORB,04/27/2016,3348,1,126,CS,126,CS,0.0,0.0,3118.5,3118.5,0.0,160.02,160.02,0.0,24.75
111,APP14,Apple McIntosh 88s,,,ORB,05/12/2016,3389,1,10,CS,10,CS,0.0,0.0,247.5,247.5,0.0,0.0,0.0,0.0,24.75
112,APP14,Apple McIntosh 88s,,,NFF,09/22/2017,5620,1,588,CS,588,CS,0.0,0.0,15288.0,15288.0,0.0,3882.83,3882.83,0.0,26.0
376,APPE1,Apple McIntosh ECO 80s,,,SUN,10/03/2015,2753,2,126,CS,100,CS,0.0,-20.63,2475.0,2475.0,0.0,0.0,0.0,0.0,24.75
377,APPE1,Apple McIntosh ECO 80s,,,SUN,10/07/2015,2801,1,55,CS,55,CS,0.0,0.0,1361.25,1361.25,0.0,0.0,0.0,0.0,24.75
378,APPE1,Apple McIntosh ECO 80s,,,ORB,10/08/2015,2805,2,84,CS,84,CS,0.0,0.0,2079.0,2079.0,0.0,0.0,0.0,0.0,24.75
379,APPE1,Apple McIntosh ECO 80s,,,SUN,10/16/2015,2827,2,42,CS,42,CS,0.0,0.0,1039.5,1039.5,0.0,0.0,0.0,0.0,24.75
380,APPE1,Apple McIntosh ECO 80s,,,LYM,10/16/2015,2869,1,42,CS,45,CS,0.0,7.14,1057.5,1057.5,0.0,55.91,55.91,0.0,23.5
381,APPE1,Apple McIntosh ECO 80s,,,ORB,10/26/2015,2934,2,84,CS,84,CS,0.0,0.0,2079.0,2079.0,0.0,0.0,0.0,0.0,24.75
382,APPE1,Apple McIntosh ECO 80s,,,SUN,10/27/2015,2930,3,37,CS,37,CS,0.0,0.0,915.75,915.75,0.0,0.0,0.0,0.0,24.75
383,APPE1,Apple McIntosh ECO 80s,,,SUN,11/06/2015,2978,1,65,CS,65,CS,0.0,0.0,1608.75,1608.75,0.0,0.0,0.0,0.0,24.75
384,APPE1,Apple McIntosh ECO 80s,,,LYM,11/09/2015,3007,3,45,CS,45,CS,0.0,0.0,1057.5,1057.5,0.0,56.25,56.25,0.0,23.5
